comuna,municipio,edad,sexo,máximo_nivel_educativo_alcanzado,grupo_poblacional,tipo_de_contrato,profesión_u_ocupación,salario,cargo_solicitado,nivel_del_cargo,No_días_del_registro_hasta_contratación,No_días_de_la_postulación_hasta_contratación,No_días_del_empleador_en_cubrir_vacante
5,medellin,23,masculino,tecnológico,ninguno,termino indefinido,tecnologo electromecanico,900000,ayudante de produccion,operativo,22,15,21.0
16,medellin,28,femenino,tecnológico,ninguno,termino indefinido,tecnologa en salud ocupacional,1200000,coordinador de seguridad social y salud en el trabajo,administrativo,25,24,25.0
16,medellin,49,femenino,tecnológico,ninguno,prestación de servicios,tecnologa en seguridad e higiene ocupacional,2000000,inspector salud ocupacional,técnico,1066,66,28.0
4,medellin,35,femenino,profesional,ninguno,termino fijo,contador publico,689454,asesores de servicio al cliente linea financiera,operativo,6,9,19.0
4,medellin,23,femenino,técnico,ninguno,termino fijo,tecnico en salud oral,689454,asesores de servicio al cliente linea financiera,operativo,7,10,20.0
8,medellin,22,femenino,tecnológico,ninguno,termino fijo,tecnologo en administración en salud,689454,asesores de servicio al cliente linea financiera,operativo,6,9,19.0
10,medellin,30,femenino,profesional,ninguno,termino fijo,gerencia de sistemas de información de salud,689454,asesores de servicio al cliente linea financiera,operativo,190,10,20.0
11,medellin,23,femenino,secundaria,ninguno,termino fijo,call center,689454,asesores de servicio al cliente linea financiera,operativo,7,10,20.0
3,medellin,21,femenino,técnico,ninguno,termino fijo,diseño de modas,689454,asesores de servicio al cliente linea financiera,operativo,11,14,24.0
4,medellin,23,femenino,tecnológico,ninguno,termino fijo,decoración de espacios de interiores,689454,asesores de servicio al cliente linea financiera,operativo,13,14,24.0
4,medellin,35,femenino,secundaria,ninguno,termino fijo,atencion al cliente,689454,asesores de servicio al cliente linea financiera,operativo,7,10,20.0
4,medellin,41,femenino,secundaria,ninguno,termino fijo,asesora de ventas,689454,asesores de servicio al cliente linea financiera,operativo,35,10,20.0
99,envigado,21,femenino,profesional,ninguno,termino fijo,administración en salud ocupacional,689454,asesores de servicio al cliente linea financiera,operativo,6,9,19.0
6,medellin,21,femenino,secundaria,ninguno,termino fijo,secretaria,689454,asesores de servicio al cliente linea financiera,operativo,6,9,19.0
5,medellin,38,femenino,técnico,ninguno,termino fijo,administración en salud,689454,asesores de servicio al cliente linea financiera,operativo,6,9,19.0
5,medellin,21,femenino,técnico,ninguno,termino fijo,asistente administrativo,689454,asesores de servicio al cliente linea financiera,operativo,5,9,19.0
11,medellin,27,femenino,profesional,ninguno,termino fijo,contadora publica,689454,asesores de servicio al cliente linea financiera,operativo,6,9,19.0
99,envigado,36,femenino,secundaria,ninguno,termino fijo,niñera,689454,asesores de servicio al cliente linea financiera,operativo,10,10,20.0
6,medellin,28,femenino,técnico,ninguno,termino fijo,auxiliar contable,700000,auxiliar contable,operativo,6,5,5.0
2,medellin,24,masculino,técnico,ninguno,termino fijo,mercaderista,689455,asesor comercial,comercial,359,11,17.0
13,medellin,31,femenino,técnico,ninguno,termino fijo,mercaderista,689455,asesor comercial,comercial,16,11,17.0
16,medellin,19,masculino,técnico,ninguno,termino fijo,tecnico mecanico,689455,asesor comercial,comercial,15,11,17.0
3,medellin,34,femenino,tecnológico,ninguno,termino fijo,tecnologa gestion,689455,asesor comercial,comercial,37,11,17.0
7,medellin,25,femenino,técnico,ninguno,termino fijo,tecnica ventas,689455,asesor comercial,comercial,344,11,17.0
99,itagüí,36,femenino,secundaria,ninguno,termino fijo,bachiller,689455,asesor comercial,comercial,15,11,17.0
16,medellin,33,femenino,secundaria,ninguno,termino fijo,bachiller,689455,asesor comercial,comercial,15,11,17.0
9,medellin,50,femenino,secundaria,ninguno,termino fijo,bchiller,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,40,40,46.0
9,medellin,23,femenino,secundaria,ninguno,termino fijo,bchiller,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,95,40,46.0
7,medellin,34,femenino,secundaria,ninguno,termino fijo,bchiller,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,33,40,46.0
7,medellin,40,femenino,secundaria,ninguno,termino fijo,bchiller,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,35,40,46.0
8,medellin,31,femenino,secundaria,ninguno,termino fijo,bchiller,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,39,40,46.0
9,medellin,20,femenino,secundaria,ninguno,termino fijo,bchiller,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,42,40,46.0
9,medellin,22,femenino,secundaria,ninguno,termino fijo,bchiller,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,42,40,46.0
6,medellin,21,femenino,secundaria,ninguno,termino fijo,sexto,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,950,40,46.0
5,medellin,31,femenino,técnico,ninguno,termino fijo,sexto,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,68,40,46.0
6,medellin,39,femenino,secundaria,ninguno,termino fijo,sexto,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,35,40,46.0
3,medellin,45,femenino,secundaria,ninguno,termino fijo,noveno,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,81,40,46.0
13,medellin,20,femenino,técnico,ninguno,termino fijo,noveno,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,81,40,46.0
13,medellin,23,femenino,secundaria,ninguno,termino fijo,noveno,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,851,40,46.0
2,medellin,27,femenino,secundaria,ninguno,termino fijo,noveno,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,481,40,46.0
5,medellin,43,femenino,técnico,ninguno,termino fijo,noveno,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,32,40,46.0
1,medellin,24,femenino,secundaria,ninguno,termino fijo,noveno,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,89,40,46.0
13,medellin,26,femenino,secundaria,ninguno,termino fijo,noveno,689455,"auxliar de limpieza, alimentación y cafeteria.",operativo,308,40,46.0
3,medellin,37,masculino,secundaria,ninguno,termino fijo,apoyo instalacio,689455,auxiliar de instalación,operativo,92,29,32.0
7,medellin,36,masculino,secundaria,ninguno,termino fijo,apoyo instalacio,689455,auxiliar de instalación,operativo,88,29,32.0
16,medellin,30,masculino,técnica,ninguno,termino fijo,tecnico en sistemas,689455,auxiliar de instalación,operativo,57,29,32.0
16,medellin,50,masculino,técnica,ninguno,termino fijo,mecanico industrial,689455,auxiliar de instalación,operativo,57,29,32.0
3,medellin,21,masculino,técnica,ninguno,termino fijo,electronica laboral,689455,auxiliar de instalación,operativo,56,29,32.0
13,medellin,21,masculino,técnica,ninguno,termino fijo,mecanica diesel,689455,auxiliar de instalación,operativo,53,29,32.0
6,medellin,31,masculino,técnica,ninguno,termino fijo,tecnicamecanica automotriz motores gasolina,689455,auxiliar de instalación,operativo,50,29,32.0
7,medellin,21,masculino,secundaria,ninguno,termino fijo,apoyo instalacio,689455,auxiliar de instalación,operativo,49,29,32.0
3,medellin,26,masculino,técnica,ninguno,termino fijo,tecnica en sistemas,689455,auxiliar de instalación,operativo,35,29,32.0
4,medellin,26,femenino,técnico,ninguno,termino fijo,gestión comercial y telemercadeo,689454,asesor de servicio al cliente,operativo,7,7,20.0
1,medellin,34,femenino,técnico,ninguno,termino fijo,secretariado medico,689454,asesor de servicio al cliente,operativo,14,14,27.0
